Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
216_0ml-2,844.8,187.54,470.64,124.11,238.25,225.25,36.02,44.18,263.52,57.25,150.6,11.81,29.93,26.57,59.76,220.94,20.16,7.97,2653,37.9,0,0,7.46,0,0,0
216_0ml-3,844.8,188.5,471.55,116.51,238.25,209.11,33.74,41.32,245.03,57.25,149.61,11.45,28.31,25.76,61.47,208.79,20.16,7.08,2667,37.9,0,0,7.14,0,0,0
216_0ml-4,844.03,188.5,470.64,116.51,238.25,209.11,33.74,40.91,245.03,57.25,150.6,11.09,28.31,25.76,61.47,208.79,20.74,7.08,2654,37.9,0,0,7.14,0,0,0
216_0ml-5,844.03,188.5,470.64,115.66,238.25,209.11,33.74,40.91,245.03,57.25,150.6,11.09,28.31,25.76,61.47,208.79,20.74,7.08,2634,37.8,0,0,7.14,0,0,0
216_0ml-6,844.03,188.5,470.64,113.13,238.25,203.5,32.83,40.09,238.09,57.25,142.62,11.09,27.51,24.96,60.62,203.27,20.16,7.08,2648,37.8,0,0,7.14,0,0,0
216_0ml-7,844.03,188.5,470.64,115.66,238.25,209.11,33.74,40.91,245.03,57.25,150.6,11.45,28.31,25.76,60.62,208.79,20.16,7.97,2618,37.8,0,0,7.12,0,0,0
216_0ml-8,844.03,188.5,470.64,113.13,237.5,203.5,32.83,39.68,238.09,57.25,142.62,11.09,26.7,24.15,60.62,202.16,20.16,7.08,2648,37.9,0,0,7.12,0,0,0
216_0ml-9,843.26,188.5,470.64,115.66,238.25,209.11,33.74,40.91,245.03,57.25,150.6,11.09,27.51,24.96,60.62,207.69,20.16,7.97,2634,37.9,0,0,7.12,0,0,0
216_25ml-1,728.62,148.31,361.82,96.25,173.06,157.18,26.45,31.09,119.05,42.19,75.8,8.59,16.18,15.3,29.03,83.96,14.4,7.08,2432,37.9,10.7,1.82,7.42,0.14,0.2,0.5
216_25ml-10,726.32,148.31,360.01,96.25,172.32,157.18,26.45,31.09,120.2,42.19,74.8,8.59,16.18,15.3,29.03,88.38,14.4,7.08,2461,37.9,11.4,1.82,7.12,0.14,0.2,0.5
216_25ml-2,727.85,148.31,361.82,92.87,173.06,155.08,25.99,30.27,117.89,42.19,69.82,8.23,15.37,15.3,29.03,82.85,14.4,7.08,2453,37.9,11.7,1.78,7.42,0.14,0.19,0.49
216_25ml-3,727.09,148.31,360.92,92.87,172.32,153.67,25.99,30.27,116.74,42.19,69.82,8.23,15.37,14.49,29.03,81.75,14.4,6.2,2451,37.9,11.4,1.79,7.22,0.14,0.19,0.5
216_25ml-4,727.85,148.31,360.92,94.56,173.06,157.18,26.45,30.68,119.05,42.19,74.8,8.23,16.18,15.3,29.03,83.96,14.4,7.08,2453,37.9,11.4,1.79,7.22,0.14,0.19,0.5
216_25ml-5,727.09,148.31,360.92,95.4,172.32,158.59,26.9,31.09,121.36,44.45,75.8,8.59,15.37,15.3,29.03,83.96,14.4,7.08,2457,37.9,11.4,1.79,7.22,0.14,0.19,0.5
216_25ml-6,727.09,148.31,360.92,96.25,172.32,157.18,26.45,31.09,120.2,42.19,75.8,8.59,15.37,15.3,29.03,83.96,14.4,7.08,2458,37.9,11.4,1.8,7.22,0.14,0.19,0.5
216_25ml-7,727.09,148.31,360.92,94.56,173.06,157.18,26.9,31.09,120.2,42.19,75.8,8.59,15.37,15.3,29.03,83.96,14.4,7.08,2469,37.9,11.4,1.81,7.12,0.14,0.2,0.5
216_25ml-8,726.32,148.31,360.92,92.87,172.32,155.08,25.99,30.27,117.89,42.19,69.82,8.23,15.37,15.3,29.03,82.85,14.4,6.2,2455,37.9,11.4,1.81,7.12,0.14,0.2,0.5
216_25ml-9,726.32,148.31,360.92,92.87,173.06,154.38,25.99,30.27,117.89,42.19,69.82,8.23,15.37,15.3,29.03,82.85,14.4,7.08,2467,37.9,11.4,1.8,7.12,0.14,0.19,0.5
216_50ml-1,733.24,150.22,364.54,92.87,172.32,153.67,25.53,28.63,121.36,38.8,71.81,8.23,14.56,14.49,29.03,85.06,13.83,6.2,2322,37.9,19.6,2.13,7.08,0.16,0.22,0.55
216_50ml-10,729.39,149.27,362.73,95.4,172.32,159.99,26.45,29.86,127.14,38.8,76.8,8.59,15.37,14.49,29.03,87.27,13.83,6.2,2323,37.9,18.8,2.13,7.04,0.16,0.22,0.55
216_50ml-2,732.47,150.22,364.54,91.18,172.32,151.57,25.08,28.23,120.2,38.8,71.81,7.87,14.56,14.49,29.03,83.96,13.83,6.2,2335,37.9,19.5,2.14,7.08,0.16,0.22,0.56
216_50ml-3,731.7,150.22,363.64,95.4,172.32,158.59,26.45,29.45,125.98,38.8,77.79,8.23,15.37,14.49,29.03,87.27,13.83,6.2,2331,37.9,19.5,2.15,7.08,0.16,0.22,0.56
216_50ml-4,730.93,150.22,363.64,94.56,172.32,158.59,26.45,29.45,125.98,38.8,77.79,8.23,15.37,14.49,29.03,87.27,13.83,6.2,2329,37.9,19.1,2.15,7.08,0.16,0.22,0.56
216_50ml-5,730.93,150.22,363.64,94.56,172.32,158.59,26.45,29.45,125.98,38.8,77.79,8.23,15.37,14.49,29.03,87.27,13.83,6.2,2328,37.9,18.8,2.13,7.04,0.16,0.22,0.55
216_50ml-6,730.16,149.27,363.64,92.87,172.32,154.38,25.53,28.63,122.51,38.8,71.81,8.23,14.56,14.49,29.03,85.06,13.83,6.2,2327,37.9,18.8,2.13,7.04,0.16,0.22,0.55
216_50ml-7,730.16,150.22,363.64,95.4,172.32,159.99,26.45,29.86,127.14,38.8,77.79,8.59,15.37,15.3,29.03,87.27,13.83,6.2,2328,37.9,18.8,2.13,7.04,0.16,0.22,0.55
216_50ml-8,730.16,149.27,362.73,101.31,172.32,170.52,28.27,31.5,135.23,38.8,77.79,8.94,16.18,16.1,29.03,92.8,13.83,7.08,2324,37.9,18.8,2.13,7.04,0.16,0.22,0.55
216_50ml-9,730.16,150.22,362.73,92.02,172.32,154.38,25.53,28.63,122.51,38.8,71.81,8.23,14.56,14.49,29.03,85.06,13.83,6.2,2354,37.9,18.8,2.12,7.04,0.16,0.22,0.55
218_0ml-1,720.93,148.31,368.17,102.16,176.06,176.13,27.81,33.54,144.47,43.32,87.77,8.94,17.8,17.71,33.3,112.68,14.4,7.08,2656,38.4,0,0,7.8,0,0,0
218_0ml-10,718.62,147.35,367.26,92.87,175.31,159.29,25.53,30.27,130.61,42.94,81.78,8.23,16.18,16.1,33.3,102.74,14.4,6.2,2672,38.4,0,0,6.95,0,0,0
218_0ml-2,720.16,148.31,368.17,93.71,176.06,159.99,25.53,30.68,131.76,43.32,82.78,8.23,16.18,16.1,33.3,102.74,14.4,6.2,2656,38.4,0,0,7.8,0,0,0
218_0ml-3,720.16,147.35,368.17,95.4,176.06,164.2,25.99,31.5,135.23,43.32,87.77,8.59,16.99,16.1,33.3,106.05,14.4,6.2,2649,38.4,0,0,7.4,0,0,0
218_0ml-4,719.39,147.35,367.26,95.4,176.06,164.2,25.99,31.09,134.07,43.32,87.77,8.59,16.99,16.1,33.3,104.95,14.4,6.2,2618,38.4,0,0,7.4,0,0,0
218_0ml-5,719.39,147.35,367.26,95.4,176.06,164.2,26.45,31.5,135.23,43.32,87.77,8.59,16.99,16.1,33.3,106.05,14.4,6.2,2685,38.4,0,0,7.4,0,0,0
218_0ml-6,719.39,148.31,367.26,96.25,176.06,165.6,26.45,31.5,135.23,43.32,87.77,8.59,16.99,16.1,33.3,106.05,14.4,7.08,2650,38.4,0,0,7.4,0,0,0
218_0ml-7,718.62,147.35,367.26,95.4,176.06,164.2,26.45,31.09,134.07,42.94,87.77,8.59,16.99,16.1,33.3,106.05,14.4,6.2,2657,38.4,0,0,6.95,0,0,0
218_0ml-8,719.39,147.35,367.26,95.4,175.31,164.2,25.99,31.09,134.07,43.32,86.77,8.59,16.99,16.1,33.3,104.95,14.4,6.2,2661,38.4,0,0,6.95,0,0,0
218_0ml-9,719.39,147.35,367.26,91.18,176.06,155.78,25.08,29.86,127.14,42.94,88.77,8.23,16.18,15.3,33.3,101.63,14.4,6.2,2652,38.4,0,0,6.95,0,0,0
218_25ml-1,687.08,133.96,328.27,94.56,154.33,159.99,23.71,27,110.96,35.78,65.83,7.51,14.56,14.49,25.61,78.43,12.1,7.08,2355,38.4,12.6,1.67,7.37,0.14,0.19,0.47
218_25ml-10,685.54,133.96,328.27,86.11,154.33,145.25,21.43,24.95,100.55,35.78,60.84,6.8,12.94,13.69,25.61,71.81,12.1,6.2,2319,38.4,12.4,1.7,7.92,0.14,0.19,0.48
218_25ml-2,686.31,133.96,328.27,88.65,155.08,148.06,21.89,25.36,102.87,35.78,65.83,7.15,13.75,13.69,25.61,77.33,12.1,6.2,2326,38.4,12.6,1.67,8.02,0.14,0.19,0.48
218_25ml-3,686.31,133.96,328.27,81.89,155.08,137.54,20.52,23.73,95.93,35.78,65.83,6.8,12.94,12.88,25.61,68.49,12.1,6.2,2358,38.4,12.6,1.68,8.02,0.14,0.19,0.48
218_25ml-4,685.54,133.96,327.36,88.65,155.08,149.46,22.34,25.77,104.02,35.78,64.83,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2332,38.4,12.6,1.69,8.02,0.14,0.19,0.48
218_25ml-5,685.54,133.96,328.27,86.11,155.08,144.55,21.43,24.95,100.55,35.78,60.84,7.15,12.94,13.69,25.61,72.91,12.1,6.2,2364,38.4,12.5,1.69,8.02,0.14,0.19,0.48
218_25ml-6,685.54,133.96,328.27,87.8,155.08,147.36,21.89,25.36,101.71,35.78,65.83,7.15,13.75,13.69,25.61,72.91,12.1,6.2,2362,38.4,12.5,1.69,7.97,0.14,0.19,0.48
218_25ml-7,685.54,133,328.27,81.89,154.33,137.54,20.52,23.73,95.93,35.78,65.83,6.8,12.94,12.88,25.61,69.6,12.1,6.2,2362,38.5,12.5,1.7,7.97,0.14,0.19,0.48
218_25ml-8,685.54,133,328.27,88.65,154.33,149.46,21.89,25.36,104.02,35.78,65.83,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2345,38.4,12.4,1.7,7.97,0.14,0.19,0.48
218_25ml-9,684.77,133,327.36,88.65,154.33,147.36,21.89,25.36,101.71,35.78,65.83,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2357,38.4,12.4,1.7,7.97,0.14,0.19,0.48
218_50ml-1,700.16,136.83,331.9,86.96,157.33,145.96,21.43,25.36,101.71,36.54,59.84,7.15,13.75,13.69,25.61,70.7,12.67,6.2,2356,38.5,28,2.29,7.71,0.17,0.23,0.58
218_50ml-10,693.23,135.87,330.99,88.65,155.83,149.46,21.89,26.18,104.02,36.54,65.83,7.15,13.75,13.69,25.61,71.81,12.67,6.2,2350,38.5,27.3,2.29,6.96,0.17,0.23,0.58
218_50ml-2,698.62,135.87,332.81,87.8,156.58,148.06,21.89,26.18,102.87,36.54,64.83,7.15,13.75,13.69,25.61,71.81,12.67,6.2,2359,38.5,27.7,2.28,7.21,0.17,0.23,0.58
218_50ml-3,698.62,135.87,331.9,89.49,156.58,150.17,21.89,26.18,104.02,36.54,64.83,7.15,13.75,13.69,25.61,71.81,12.67,6.2,2325,38.5,27.7,2.29,7.21,0.17,0.23,0.58
218_50ml-4,697.08,135.87,331.9,86.96,156.58,145.96,21.43,25.36,101.71,36.54,59.84,7.15,13.75,13.69,25.61,70.7,12.67,6.2,2362,38.5,27.7,2.29,7.21,0.17,0.23,0.58
218_50ml-5,696.31,135.87,330.99,89.49,156.58,150.17,21.89,26.18,105.18,36.54,65.83,7.15,13.75,14.49,25.61,71.81,12.67,6.2,2354,38.5,27.7,2.29,7.21,0.17,0.23,0.58
218_50ml-6,695.54,135.87,331.9,88.65,156.58,149.46,21.89,26.18,104.02,36.54,65.83,7.15,13.75,13.69,25.61,71.81,12.67,6.2,2352,38.5,27.5,2.29,7.06,0.17,0.23,0.58
218_50ml-7,694.77,135.87,331.9,89.49,156.58,150.17,21.89,26.18,105.18,36.16,64.83,7.15,13.75,13.69,25.61,71.81,12.67,6.2,2355,38.5,27.5,2.29,7.06,0.17,0.23,0.58
218_50ml-8,694,135.87,330.99,86.11,155.83,145.96,21.43,25.36,101.71,36.16,59.84,7.15,13.75,13.69,25.61,70.7,12.67,6.2,2375,38.5,27.5,2.29,7.06,0.17,0.23,0.58
218_50ml-9,693.23,134.92,330.99,81.05,156.58,134.73,20.06,23.73,94.78,36.54,65.83,6.8,12.94,12.88,25.61,66.28,12.67,6.2,2358,38.5,27.4,2.29,6.96,0.17,0.23,0.58
23_0ml-1,770.17,163.62,410.79,108.91,217.27,184.55,26.45,33.54,220.76,52.36,119.68,10.73,26.7,21.74,52.08,171.23,26.5,7.97,2651,37.4,0,0,7.55,0,0,0
23_0ml-10,768.63,163.62,410.79,103,217.27,174.02,25.08,31.5,208.04,51.98,126.67,10.02,25.08,20.13,51.22,162.39,26.5,7.08,2643,37.4,0,0,7.88,0,0,0
23_0ml-2,770.17,163.62,410.79,112.29,217.27,190.16,27.36,34.36,227.69,51.98,125.67,10.73,27.51,22.54,51.22,173.44,26.5,7.97,2674,37.4,0,0,7.55,0,0,0
23_0ml-3,769.4,163.62,410.79,111.44,217.27,189.46,27.36,34.36,227.69,52.36,126.67,11.09,27.51,22.54,52.08,173.44,26.5,7.97,2643,37.4,0,0,7.55,0,0,0
23_0ml-4,769.4,163.62,410.79,108.91,217.27,183.85,26.45,32.73,219.6,51.6,119.68,10.37,26.7,21.74,51.22,169.02,26.5,7.97,2631,37.4,0,0,7.73,0,0,0
23_0ml-5,769.4,163.62,410.79,101.31,217.27,169.81,24.62,30.68,203.42,51.98,119.68,9.66,25.08,20.13,51.22,157.97,26.5,7.08,2655,37.4,0,0,7.73,0,0,0
23_0ml-6,769.4,163.62,410.79,108.07,217.27,183.15,26.45,33.13,219.6,51.98,118.69,10.37,26.7,21.74,51.22,169.02,26.5,7.97,2651,37.4,0,0,7.73,0,0,0
23_0ml-7,768.63,163.62,410.79,111.44,216.52,188.76,26.9,33.95,226.54,51.98,126.67,10.73,27.51,21.74,51.22,172.33,26.5,7.97,2648,37.4,0,0,7.73,0,0,0
23_0ml-8,769.4,163.62,410.79,112.29,216.52,190.87,27.36,33.95,227.69,51.98,124.67,10.73,27.51,22.54,51.22,173.44,26.5,7.97,2644,37.4,0,0,7.88,0,0,0
23_0ml-9,769.4,163.62,409.89,110.6,217.27,188.06,26.9,33.54,225.38,51.98,126.67,10.73,26.7,21.74,51.22,171.23,26.5,7.97,2644,37.4,0,0,7.88,0,0,0
23_25ml-1,706.31,139.7,350.04,90.34,172.32,159.29,20.06,22.09,119.05,31.64,65.83,7.15,19.42,17.71,32.44,89.48,14.4,6.2,2487,37.5,13.3,1.59,7.44,0.13,0.18,0.46
23_25ml-10,706.31,139.7,350.04,90.34,172.32,158.59,20.06,22.09,117.89,31.26,65.83,7.15,19.42,17.71,32.44,89.48,14.4,6.2,2500,37.5,13.2,1.66,8.07,0.14,0.19,0.47
23_25ml-2,707.08,139.7,350.04,90.34,172.32,158.59,20.06,22.09,117.89,31.64,65.83,7.15,18.61,16.91,32.44,88.38,14.4,6.2,2427,37.5,13.3,1.61,7.44,0.13,0.18,0.47
23_25ml-3,705.54,140.66,350.04,92.02,172.32,162.1,20.52,22.5,121.36,31.26,71.81,7.15,19.42,18.52,32.44,90.59,14.4,6.2,2420,37.5,13.3,1.62,7.54,0.13,0.18,0.47
23_25ml-4,706.31,139.7,350.04,92.02,172.32,162.1,20.52,22.5,120.2,31.64,71.81,7.15,19.42,18.52,32.44,90.59,14.4,6.2,2429,37.5,13.3,1.62,7.54,0.13,0.18,0.47
23_25ml-5,706.31,139.7,350.04,90.34,172.32,159.29,20.06,22.09,117.89,31.26,65.83,7.15,19.42,17.71,32.44,89.48,14.4,6.2,2422,37.5,13.2,1.63,7.54,0.13,0.18,0.47
23_25ml-6,706.31,140.66,350.04,92.87,172.32,163.5,20.97,22.91,121.36,31.26,70.81,7.15,19.42,18.52,32.44,91.69,14.4,6.2,2435,37.5,13.2,1.64,7.54,0.13,0.18,0.47
23_25ml-7,706.31,140.66,350.04,86.96,172.32,151.57,19.15,21.27,112.11,31.64,71.81,6.8,18.61,16.91,32.44,85.06,14.4,6.2,2421,37.5,13.2,1.65,8.07,0.14,0.18,0.47
23_25ml-8,706.31,140.66,350.94,86.11,172.32,148.76,19.15,20.86,110.96,31.64,65.83,6.8,17.8,16.91,32.44,89.48,14.4,6.2,2428,37.5,13.2,1.65,8.07,0.14,0.18,0.47
23_25ml-9,706.31,140.66,350.04,89.49,172.32,157.89,20.06,22.09,117.89,31.64,65.83,7.15,19.42,17.71,32.44,89.48,14.4,6.2,2424,37.5,13.2,1.66,8.07,0.14,0.18,0.47
23_50ml-1,707.08,138.74,346.41,86.11,158.08,149.46,20.06,24.14,151.41,36.54,87.77,7.15,17.8,17.71,40.98,133.67,12.67,6.2,2372,37.6,27,2.15,7.76,0.16,0.22,0.56
23_50ml-10,702.46,138.74,342.78,88.65,158.08,152.97,20.97,24.54,153.72,36.54,92.76,7.15,18.61,17.71,40.13,132.57,12.67,6.2,2386,37.6,26.5,2.2,7.03,0.16,0.22,0.57
23_50ml-2,705.54,138.74,344.59,84.43,158.08,142.45,19.15,22.91,143.32,36.54,93.75,6.8,16.99,16.1,40.98,127.04,12.67,6.2,2365,37.6,26.9,2.16,7.39,0.16,0.22,0.56
23_50ml-3,705.54,138.74,344.59,89.49,158.08,155.08,20.97,24.95,157.19,36.54,93.75,7.15,18.61,17.71,40.98,135.88,12.67,6.2,2353,37.6,26.9,2.17,7.39,0.16,0.22,0.56
23_50ml-4,704.77,138.74,344.59,85.27,158.08,147.36,20.06,23.73,149.1,36.54,87.77,6.8,17.8,16.91,40.98,130.36,12.67,6.2,2379,37.6,26.8,2.18,7.39,0.16,0.22,0.56
23_50ml-5,704,138.74,343.69,88.65,158.08,153.67,20.52,24.54,154.88,36.54,93.75,7.15,18.61,17.71,40.98,134.77,12.67,6.2,2379,37.6,26.8,2.19,7.39,0.16,0.22,0.56
23_50ml-6,703.23,138.74,343.69,87.8,158.08,152.27,20.97,24.95,153.72,36.54,92.76,7.15,18.61,17.71,40.98,133.67,12.67,6.2,2387,37.6,26.6,2.19,7.13,0.16,0.22,0.56
23_50ml-7,703.23,138.74,343.69,87.8,158.08,152.27,20.52,24.54,153.72,36.54,92.76,7.15,18.61,17.71,40.98,134.77,12.67,6.2,2380,37.6,26.6,2.2,7.13,0.16,0.22,0.57
23_50ml-8,703.23,138.74,342.78,95.4,158.08,166.31,22.34,26.59,167.59,36.54,92.76,7.51,20.22,19.32,40.98,142.51,12.67,6.2,2373,37.6,26.6,2.2,7.13,0.16,0.22,0.57
23_50ml-9,702.46,138.74,342.78,87.8,158.08,152.27,20.97,24.95,153.72,36.54,92.76,7.15,18.61,17.71,40.13,132.57,12.67,6.2,2394,37.6,26.6,2.21,7.13,0.16,0.22,0.57
27_0ml-1,740.16,153.1,386.31,103.84,189.55,178.94,31.46,38.04,161.81,53.11,101.73,10.02,19.42,18.52,39.27,139.19,15.55,7.08,2634,33.6,0,0,8.02,0,0,0
27_0ml-10,740.16,153.1,386.31,102.16,189.55,178.94,31.46,37.63,161.81,53.11,101.73,10.02,19.42,18.52,38.42,131.46,15.55,7.08,2643,33.6,0,0,7.92,0,0,0
27_0ml-2,740.16,153.1,386.31,101.31,189.55,178.94,31.46,37.63,161.81,53.11,101.73,10.02,19.42,18.52,38.42,131.46,15.55,7.08,2591,33.6,0,0,8.02,0,0,0
27_0ml-3,740.16,153.1,386.31,102.16,189.55,178.94,31.46,37.63,161.81,53.11,101.73,10.02,19.42,18.52,38.42,132.57,15.55,7.08,2633,33.6,0,0,7.97,0,0,0
27_0ml-4,740.16,153.1,386.31,102.16,189.55,178.94,31.46,38.04,161.81,53.11,100.73,10.02,19.42,18.52,39.27,131.46,15.55,7.08,2636,33.6,0,0,7.97,0,0,0
27_0ml-5,740.16,153.1,386.31,102.16,189.55,178.94,31.46,38.04,161.81,53.11,101.73,10.02,19.42,18.52,39.27,131.46,15.55,7.08,2615,33.6,0,0,7.97,0,0,0
27_0ml-6,740.16,153.1,386.31,98.78,189.55,174.02,30.55,36.82,157.19,53.11,96.74,9.66,19.42,18.52,39.27,128.15,15.55,7.08,2634,33.6,0,0,7.97,0,0,0
27_0ml-7,739.4,153.1,386.31,98.78,189.55,174.02,30.55,36.82,157.19,53.11,95.75,9.66,18.61,17.71,38.42,128.15,15.55,7.08,2631,33.6,0,0,7.92,0,0,0
27_0ml-8,740.16,153.1,386.31,102.16,189.55,179.64,31.46,38.04,161.81,53.11,101.73,10.02,19.42,18.52,38.42,131.46,15.55,7.08,2633,33.6,0,0,7.92,0,0,0
27_0ml-9,740.16,153.1,386.31,109.75,189.55,192.97,33.74,40.91,174.53,53.11,101.73,10.73,21.03,20.13,38.42,140.3,15.55,7.08,2620,33.6,0,0,7.92,0,0,0
27_25ml-1,697.85,135.87,341.87,92.02,166.32,156.48,23.71,29.45,124.83,44.82,62.83,7.87,15.37,14.49,28.17,77.33,13.83,6.2,2398,33.8,17.4,2,7.59,0.15,0.21,0.53
27_25ml-10,695.54,135.87,340.97,101.31,166.32,174.02,25.99,32.32,138.7,44.45,67.82,8.94,16.99,16.1,28.17,85.06,13.83,7.08,2397,33.9,17.2,2,7.92,0.15,0.21,0.53
27_25ml-2,697.08,135.87,341.87,94.56,166.32,161.39,24.17,30.27,128.29,44.82,67.82,8.23,16.18,15.3,28.17,79.54,13.83,6.2,2399,33.8,17.4,2,7.07,0.15,0.21,0.53
27_25ml-3,697.08,135.87,341.87,93.71,166.32,159.29,24.17,29.86,127.14,44.82,67.82,8.23,15.37,15.3,28.17,78.43,13.83,6.2,2401,33.8,17.3,2,7.07,0.15,0.21,0.53
27_25ml-4,697.85,135.87,341.87,94.56,166.32,161.39,24.17,30.27,128.29,44.45,67.82,8.23,16.18,15.3,28.17,78.43,13.25,6.2,2403,33.8,17.3,2,7.07,0.15,0.21,0.53
27_25ml-5,697.85,135.87,341.87,86.11,166.32,146.66,21.89,27.41,116.74,44.45,62.83,7.51,14.56,13.69,28.17,71.81,13.25,6.2,2395,33.8,17.3,2,7.07,0.15,0.21,0.53
27_25ml-6,695.54,135.87,340.97,92.02,166.32,156.48,23.71,29.45,124.83,44.45,62.83,7.87,15.37,14.49,28.17,77.33,13.25,6.2,2397,33.8,17.3,2,7.97,0.15,0.21,0.53
27_25ml-7,695.54,135.87,340.97,92.02,166.32,155.78,23.71,29.45,124.83,44.45,62.83,7.87,15.37,14.49,28.17,77.33,13.83,6.2,2405,33.9,17.3,2,7.97,0.15,0.21,0.53
27_25ml-8,695.54,135.87,340.97,94.56,166.32,161.39,24.17,30.27,128.29,44.45,67.82,8.23,16.18,15.3,28.17,79.54,13.83,6.2,2402,33.9,17.2,2,7.97,0.15,0.21,0.53
27_25ml-9,695.54,135.87,340.97,92.02,166.32,156.48,23.71,29.45,124.83,44.45,62.83,7.87,15.37,14.49,28.17,77.33,13.83,6.2,2371,33.9,17.2,2,7.97,0.15,0.21,0.53
27_50ml-1,687.85,133.96,335.53,87.8,157.33,152.97,21.43,24.95,112.11,35.41,65.83,7.15,14.56,15.3,28.17,78.43,11.52,6.2,2332,34.1,26.7,2.07,7.7,0.16,0.21,0.54
27_50ml-10,684.77,133.96,333.71,86.96,156.58,152.97,21.89,25.36,110.96,35.78,65.83,7.15,14.56,15.3,28.17,77.33,11.52,6.2,2380,34.1,26.6,2.16,7,0.16,0.22,0.56
27_50ml-2,687.08,133.96,335.53,89.49,157.33,157.89,22.34,25.77,114.42,35.41,70.81,7.15,14.56,15.3,28.17,79.54,11.52,6.2,2335,34.1,26.7,2.07,7.7,0.16,0.21,0.54
27_50ml-3,686.31,133.96,335.53,89.49,156.58,157.89,22.34,25.77,115.58,35.78,70.81,7.51,14.56,15.3,28.17,79.54,11.52,6.2,2330,34.1,26.6,2.1,7.21,0.16,0.22,0.55
27_50ml-4,686.31,133.96,335.53,89.49,156.58,157.89,22.34,25.77,114.42,35.78,69.82,7.51,14.56,15.3,28.17,79.54,11.52,6.2,2364,34.1,26.6,2.12,7.21,0.16,0.22,0.55
27_50ml-5,685.54,133.96,335.53,90.34,156.58,155.78,22.34,25.77,113.27,35.78,70.81,7.51,14.56,15.3,28.17,79.54,11.52,6.2,2332,34.1,26.6,2.12,7.21,0.16,0.22,0.55
27_50ml-6,685.54,133.96,334.62,89.49,156.58,157.89,22.34,25.77,114.42,35.78,70.81,7.51,15.37,15.3,28.17,79.54,11.52,6.2,2354,34.1,26.6,2.13,7.06,0.16,0.22,0.55
27_50ml-7,685.54,133.96,334.62,87.8,156.58,153.67,21.89,25.36,112.11,35.78,65.83,7.15,14.56,15.3,28.17,78.43,11.52,6.2,2335,34.1,26.6,2.14,7.06,0.16,0.22,0.56
27_50ml-8,685.54,133.96,334.62,90.34,156.58,155.78,22.34,25.77,113.27,35.78,70.81,7.51,14.56,15.3,28.17,83.96,11.52,6.2,2327,34.1,26.6,2.15,7.06,0.16,0.22,0.56
27_50ml-9,684.77,133.96,334.62,88.65,156.58,156.48,22.34,25.77,114.42,35.78,70.81,7.15,14.56,15.3,28.17,79.54,11.52,6.2,2342,34.1,26.6,2.15,7.06,0.16,0.22,0.56
29_0ml-1,782.48,164.58,400.82,102.16,205.28,165.6,30.09,36,176.84,53.86,113.7,10.37,19.42,18.52,44.39,140.3,18.43,7.08,2649,38.5,0,0,7.54,0,0,0
29_0ml-10,781.71,164.58,400.82,106.38,205.28,173.32,31.01,37.63,184.93,53.49,106.72,10.37,20.22,18.52,44.39,143.61,18.43,7.08,2651,38.5,0,0,8.02,0,0,0
29_0ml-2,782.48,164.58,400.82,102.16,205.28,165.6,30.09,36,176.84,53.86,113.7,10.37,19.42,17.71,44.39,139.19,18.43,7.08,2657,38.5,0,0,7.54,0,0,0
29_0ml-3,781.71,164.58,400.82,106.38,205.28,174.02,31.46,37.63,186.08,53.49,106.72,10.73,20.22,18.52,44.39,143.61,18.43,7.08,2639,38.5,0,0,7.54,0,0,0
29_0ml-4,780.94,164.58,400.82,106.38,205.28,173.32,31.01,37.63,184.93,53.49,106.72,10.37,20.22,18.52,44.39,143.61,18.43,7.08,2653,38.5,0,0,8.07,0,0,0
29_0ml-5,780.94,164.58,400.82,106.38,205.28,173.32,31.46,37.63,184.93,53.49,106.72,10.37,20.22,18.52,44.39,143.61,18.43,7.08,2643,38.5,0,0,8.07,0,0,0
29_0ml-6,781.71,164.58,400.82,116.51,205.28,191.57,34.2,41.32,204.58,53.49,113.7,11.45,21.84,20.13,44.39,155.76,18.43,7.97,2658,38.5,0,0,8.07,0,0,0
29_0ml-7,781.71,164.58,400.82,109.75,205.28,176.83,31.92,38.45,188.39,53.49,113.7,10.73,21.03,19.32,44.39,146.93,18.43,7.08,2659,38.5,0,0,8.07,0,0,0
29_0ml-8,781.71,164.58,400.82,106.38,204.53,173.32,31.01,37.63,184.93,53.49,106.72,10.37,20.22,18.52,44.39,143.61,18.43,7.08,2654,38.5,0,0,8.02,0,0,0
29_0ml-9,781.71,164.58,400.82,106.38,204.53,173.32,31.46,37.63,184.93,53.49,106.72,10.37,20.22,18.52,44.39,143.61,18.43,7.08,2611,38.5,0,0,8.02,0,0,0
29_25ml-1,714.77,141.61,344.59,95.4,168.57,153.67,24.17,27.82,129.45,39.17,88.77,8.23,15.37,15.3,35,119.31,13.83,6.2,2359,38.5,19.2,2,7.6,0.15,0.21,0.53
